ordinance_number,resolution_number,proponent,author,title,held_at
673-1991,5104-91,,,"AN ORDINANCE ESTABLISHING A ""NO ENIRY SIGN"" IO R. DELA SERNA SIREEI LOCAIED BARANGAY POBLACION PHIS CITY ALL VEHICLES COMING FROM B.M. SIREEI EXCEPI MOIORIZED IRICYCLES FOR HIRE AND PRIVAIE MOIOR VEHICLES COMING FROM LOPEZ JAENA AND PLARIDEL SIREEIS , ALL IN BARANGAY POBLACION BEING A SCHOOL ZONE AND IMPOSING PENALIY THEREOF","October 2, 1991"
63-2017,14-0898-201,,,AN ORDINANCE CREATING THE DIFFERENT POSITIONS OF THE LAPU LAPU CITY COLLEGE,"JULY 26, 2017"
179-2002,1211-2002,,,"ORDINANCE NQ 179-2002 AN CLASSES OF ALL LEVELS IN BABAG NATIONAL HIGH SCHOOL, BABAG, LAPU-LAPU CITY","JUNE 26,2002"
124-2008,4917,,,,
100-1999,1168-99,,,"AN ORDINANCE TRANSFERRING THE PLANTILLA ITEM OF ONE POSITION OF ADMINISTRATIVE OFFICER IV, ITEM FROM THE OFFICE OF THE CITY BUDGET OFFICER TO THE OFFICE OF THE VICE MAYOR",MAY 26. 1999
75-2023,16-0930-2023,,,AN ORDINANCE AMENDING AND UPGRADING THE QUALIFICATIONS STANDARDS OF THE COLLEGE ADMINISTRATOR POSITION IN THE LAPU-LAPU CITY COLLEGE Service Commission (CSC) of the plantilla position of the Administrator in the Lapu-Lapu City College it is not consistent with the CHED requirements for a Administrator position; College College,"JANUARY 25,2023"
15-2001,169-2001,,,AN ORDINANCE CREATING POSITIONS IN THE OFFICE OF TIIE SANGGUNIANG PANLUNGSOD AND OFFICE OF THE SECRETARY TO THE SANGGUNIANG PANLUNGSOD,SEPTEMBER 52001
370-1990,2962-90,,,"AN ORDINANCE CREATING THE CITIZENS DRUG (CDWC ) INSTALL AND LAUNCH THE JUNIORS CIIIZENS DRUG WATCH"" YOUIH OUIREACH PROGRAM AGAINSI DRUG ABUSE ( YOPADA) , AND THE BARANGAY CAMPAIGN AGAINST DRUG ABUSE (BARCADA ) IN THE FERENT BARANGAYS ADOPTING AND SLOGAN: SAVE IHE ABUSER"" AND APPROPRIATING TUNDS MHEREAS President Corazon Aquino has pressed the drive against drug abuse and directed local governnent officials to harness the youth the land in the fight against the drug nenace;",
15-111-2020,15-1170-2020,,,"RESOLUTION NO 15-1170-2020 Afier due deliberation of the SangguniangParlungsod of the of Lpu-iapu, on Dungog City RESOLVFD. to enact. as it is hereby ENACTED the following ORDINANCE NO 15-111-2020 THE CITY DEVELOPMENT COUNCIL EXECUTIVE COMMITTEE DATED SEPTEMBER 28, 2020 a5 per Reslution No. 2020-14 ofthe Development Council Executive Conunittee dated City","OCTOBER 22, 2020"
405-1974,,,,,Junc 17
136-2024,16-2229-2024,HON. ANNABETH D. CUIZON,HON. ANNABETH D. CUIZON,"AN ORDINANCE INSTITUTIONALIZING THE GRANT OF THE MID-YEAR AND YEAR-END CASH ASSISTANCE TO QUALIFIED SENIOR CITIZENS LAPU, ESTABLISHING GUIDELINES THEREOF, AND FOR OTHER RELATED PURPOSES provide for certain privileges and incentives with due consideration to the additional needs of these sectors;","MARCH 14,2024"
168-2018,14-3021-2018,,,"AN ORDINANCE ALLOCATING FINANCIAL ASSISTANCE TO LAPU-LAPU CITY FIESTA EXECUTIVE COMMITTEE, INC. TO COVER CASH PRIZES FOR MISS LAPU-LAPU 2018 AND AUTHORIZING THE MAYOR TO RELEASE THE PRIZES TO THE WINNERS AND OTHER CANDIDATES AND DESIGNERS","DECEMBER 12, 2018"
122-1963,1352,,,,
